epoch	lr	train_loss	val_loss	train_prec1	val_prec1	train_prec5	val_prec5
0	0.100	27.2375	24.6656	9.1420	15.5300	28.9880	40.5800
1	0.100	23.0259	21.6450	19.9820	24.1200	48.6400	54.8400
2	0.100	20.3685	20.1331	28.3300	30.5500	60.2380	62.1300
3	0.100	18.5665	17.0011	34.2660	39.4300	66.7760	71.3400
4	0.100	17.1357	16.3225	38.3840	42.1200	71.4460	73.6500
5	0.100	15.9880	15.7620	41.7640	42.8500	74.7000	75.0400
6	0.100	15.0904	15.1926	44.4740	45.0300	77.2500	77.2500
7	0.100	14.3514	14.1983	47.0880	47.4600	79.0980	78.7800
8	0.100	13.7474	14.2644	48.7400	47.8600	80.8800	79.6600
9	0.100	13.2553	16.9833	50.6540	40.8700	81.9000	71.5300
10	0.100	12.8510	14.1019	52.2280	50.0800	82.9940	80.1600
11	0.100	12.4297	12.6826	53.3720	52.4700	84.0580	83.0600
12	0.100	12.1006	14.0545	54.8180	50.5300	84.6900	80.0400
13	0.100	11.7568	12.5363	56.0740	54.4400	85.4800	83.8700
14	0.100	11.5667	12.7860	56.6320	52.5200	85.8380	82.8300
15	0.100	11.3129	12.6121	57.8260	55.0300	86.6940	83.4500
16	0.100	11.1005	12.5388	58.3440	54.7500	87.2180	83.5300
17	0.100	10.9058	12.8826	59.2760	53.9100	87.3020	83.2200
18	0.100	10.7587	12.0437	59.8940	55.6000	87.7820	83.8700
19	0.100	10.5893	11.7521	60.4880	57.5600	88.3160	84.4400
20	0.100	10.4014	12.1431	61.0140	57.1100	88.7740	85.0900
21	0.100	10.3068	12.0222	61.6600	55.9500	89.1020	84.4900
22	0.100	10.1877	11.9900	62.0920	56.9700	89.2640	84.9600
23	0.100	10.0948	11.7980	62.4760	57.9900	89.3540	85.6100
24	0.100	9.9758	11.1773	62.9540	59.9500	89.6040	86.4400
25	0.100	9.8356	11.7786	63.3920	57.1600	89.8880	84.8300
26	0.100	9.7639	11.3287	63.5220	59.4000	90.1020	86.8500
27	0.100	9.6985	11.1970	64.1340	59.4900	90.4040	86.3400
28	0.100	9.5796	12.0724	64.3060	57.4900	90.5700	85.3900
29	0.100	9.5308	11.4812	64.8280	59.2800	90.5820	86.1800
30	0.100	9.4420	11.0641	64.6780	60.5300	90.7300	87.4600
31	0.100	9.3664	11.4241	65.3080	59.3600	90.9340	86.1600
32	0.100	9.3021	11.5135	65.5620	58.4200	90.9920	85.8400
33	0.100	9.1889	11.0444	65.9380	60.8600	91.3900	87.8400
34	0.100	9.1631	10.7852	66.0580	61.2800	91.4260	87.1800
35	0.100	9.0980	11.2480	66.3040	59.4200	91.4660	86.5100
36	0.100	9.0148	11.7536	66.5440	58.4200	91.6060	85.9600
37	0.100	9.0174	11.2504	66.8380	60.7100	91.6480	87.5800
38	0.100	8.9473	11.6513	66.9620	58.8100	91.7780	86.5000
